FID,Tid,Hazard,Con_pop,CBRA,County
206,-2,0.0,0.0,3505.0,0
207,-2,0.0,0.0,7166.000000000001,0
208,-2,0.0,0.0,298.0,0
209,-2,0.0,0.0,304.0000000000001,0
210,-2,0.0,0.0,54.0,0
211,-2,0.0,0.0,0.0,0
212,-2,0.0,0.0,1.0,0
213,-2,0.0,0.0,0.0,0
214,-2,0.0,0.0,55.0,0
215,215,0.0,0.0,0.0,11
216,216,0.0,0.0,0.0,11
217,-2,0.0,0.0,0.0,0
218,-2,0.0,0.0,0.0,0
219,-2,0.0,0.0,0.0,0
220,-2,0.0,0.0,0.0,0
221,-2,0.0,0.0,0.0,0
222,-2,0.0,0.0,0.0,0
223,-2,0.0,0.0,0.0,0
224,-2,0.0,0.0,466.9999999999999,0
225,-2,0.0,539.188631058,86.0,0
226,-2,0.0,1038.92060757,13328.0,0
227,-2,0.0,231.783704281,5951.000000000001,0
228,-2,0.0,77.479528904,1788.0,0
229,-2,0.0,116.418791294,5990.0,0
230,-2,0.0,313.894500732,4117.0,0
231,-2,0.0,181.907301903,8455.000000000002,0
232,-2,0.0,30.7321310043,3189.999999999999,0
233,-2,0.0,402.132602215,25614.0,0
234,-2,0.0,168.353246689,3482.0,0
235,-2,0.0,141.517439842,15157.0,0
236,-2,0.0,395.024236679,18402.0,0
237,-2,0.0,288.760855675,7359.0,0
238,-2,0.0,196.079232693,7966.0,0
239,-2,0.0,132.155837536,5245.000000000001,0
240,-2,0.0,407.680903912,8117.0,0
241,-2,0.0,30.9976286888,2880.0,0
242,-2,0.0,63.5430412292,12907.0,0
243,-2,0.0,12.2312064171,2.0,0
244,-2,0.0,0.0,0.0,0
245,-2,0.0,0.0,0.0,0
246,-2,0.0,0.0,607.0,0
247,-2,0.0,173.712377071,18508.0,0
248,-2,0.0,6.17558765411,838.0000000000001,0
249,-2,0.0,0.0,0.0,0
250,-2,0.0,35.2814040184,6627.0,0
251,-2,0.0,0.0,14435.0,0
252,-2,0.0,6.74916744232,0.0,0
253,-2,0.0,89.65224123,464.0,0
254,-2,0.0,0.0,210.0,0
255,-2,0.0,0.0,0.0,0
256,-2,0.0,0.0,0.0,0
257,-2,0.0,0.0,0.0,0
258,-2,0.0,0.0,0.0,0
259,-2,0.0,24.5931200981,210.0,0
260,-2,0.0,402.719234467,6477.999999999999,0
261,-2,0.0,79.1882448196,0.0,0
